,,,,WITHIN-PHRASE GRAMMATICAL_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE NUMBER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITHIN-PHRASE GENDER VIOLATION_400-900ms MEAN AMPLITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
1,15,ADVANCED,45,2.92035532,5.468326569,2.507113934,1.540376782,4.848133087,5.547548294,3.209459782,2.020205498,6.497551918,4.206544399,4.457247734,4.900073528,3.043258429,1.985341907,2.404590607,1.773923755,7.143111229,1.703639269,4.960104465,1.890125751,5.178025246,3.698762178,5.130047798,1.858333111,6.478311062,5.568516731,1.612868905,2.285828829,1.951822996,2.232883692,1.955854774,2.808165073,9.523091316,2.465588331,1.825734019,8.318771362,8.262260437,7.780792713,6.766778469,7.572213173,9.363103867,8.048501015,6.929841042,3.545643806,3.490605593,3.375500441,6.851036072,9.549841881,2.324849844,5.990418434,1.923488736,7.429797173,7.560611725,8.8612957,6.705820084,9.293377876,6.745583057,3.254457235,1.851107717,3.158872843,2.227612734,4.445045471,3.406713247,5.818239212,2.716439486,1.548576355,6.236537933,5.223221302,5.090488434,3.457612514,6.232133865,5.647386551,5.970637321,5.261995316,2.75842309,2.632491827,2.676152706,4.353922844,6.922699451,2.256589651,3.899473667,1.9953655,4.857072353,5.035464287,5.704041004,3.866343498,5.884619713,4.510562897,1.769840121,2.074053049,2.665550232,2.299039841,2.63757205
2,21,ADVANCED,45,-0.374161899,1.430795789,-0.06201192,-1.423153043,0.504249334,0.833041906,1.981704593,2.074254513,0.038328785,2.358018875,0.91628021,0.498421162,0.857818723,0.426564813,0.617571473,1.787740827,0.350470155,-1.39729917,-1.135325789,0.354365289,0.478013247,1.366363406,1.574712157,1.884963751,0.837172329,-0.319469392,-0.373200178,0.226078987,-0.371569484,0.265265882,0.584523737,0.972117007,6.59305048,2.265929461,-2.222158194,6.062726974,4.498276711,6.912849903,4.928199291,3.222205877,7.28057003,6.412103176,5.070711613,4.919979095,0.1548419,4.231686592,5.329283237,4.626664162,-0.454415232,1.179059505,4.539871693,3.372032166,6.400119305,5.527582169,5.287379742,5.795564175,1.569218516,-2.038125515,4.328591347,-0.911109924,4.748704433,1.720567584,3.406394005,3.544358492,3.639437914,0.747027934,4.269239426,3.511447191,3.35876441,2.747953176,3.342325926,3.425101995,3.666084051,4.745094776,2.510837793,1.78400147,2.079466105,2.619429588,3.569959164,1.941833973,1.422960639,3.821776628,3.213703156,3.378968477,3.841092825,2.605760813,3.74587059,2.428989172,0.940894127,1.970576406,1.610268712,2.023854017,1.622310996
3,15,ADVANCED,45,4.914336681,5.968940258,4.002923012,3.422612429,6.712426662,4.933756828,5.158470631,0.63119024,7.489997387,4.860754013,6.488435745,5.584517479,4.415630817,2.281110048,2.702446222,2.066988468,8.35286808,3.895944595,6.455614567,4.530582905,5.635209084,5.861598492,4.260124683,1.320368886,7.335987568,6.054136276,4.110444546,4.402101994,3.733000278,3.727803469,-0.058882318,2.847732067,7.150278091,1.359146714,-3.079074144,6.584856033,4.334768295,7.006191254,2.604288816,6.452152729,7.33582449,7.093271732,7.788846493,2.045534134,0.159018233,3.658225298,4.665902138,7.971625328,1.234147549,3.937656403,2.007163048,4.709672451,6.574368,5.198083878,3.467621565,7.846758842,4.182282448,-1.828977585,2.475321054,0.331211209,3.331706762,-0.520224571,3.225765705,4.590360165,1.275649786,2.203056812,4.467586994,3.763223886,3.561005354,1.037760019,6.213573933,4.545386791,4.767015457,3.188393831,2.450583935,1.339297533,2.209318399,2.571670771,6.834071636,2.654790163,5.547949314,2.109161854,4.894411087,3.64346242,3.268470764,1.727303624,6.035743713,5.614644527,2.704560518,2.360419035,2.229706287,2.717447758,0.209508613
4,12,ADVANCED,48,-6.291882515,5.775220871,-7.110586643,1.674364328,4.264438152,6.671257019,4.869808674,1.136402011,4.529741764,5.336941719,5.587450504,2.123183012,1.721530914,3.591419697,1.674445033,1.901895761,5.295107365,-5.747623444,3.642215967,-0.46656245,6.735399723,5.56099081,5.337206841,1.767595053,6.319971085,5.532394409,2.751175404,2.150576353,4.194006443,2.966275215,2.636701107,0.140631989,6.671444893,-1.888300657,3.493540049,5.16609478,8.130643845,7.779336452,5.295400143,3.75761199,8.906633377,6.032824039,4.427477837,3.849486589,5.496006966,5.283076763,5.614655972,3.661701679,-1.962779284,4.254069805,2.488975048,7.311062336,6.941467285,8.627711296,5.182867527,5.455859184,6.093058586,3.771951199,4.100340843,4.145472527,4.942480087,5.863275051,-1.521282434,4.52430439,-3.30482769,2.78140974,3.046007872,5.151945114,5.842029095,2.070374966,2.31831789,6.303815365,4.078865051,2.590275764,3.023173809,2.61044383,3.860050917,3.79564929,2.636836052,-2.777765036,2.751371145,1.888638973,4.974832058,5.513876438,5.327831268,2.782075167,3.369264603,4.388007164,2.792882204,3.409783125,2.930324793,3.920797825,2.47871089
5,13,ADVANCED,46,-1.944474936,3.372888565,-3.547908783,-2.35395813,1.39083457,4.418050766,4.533908367,3.632875204,0.339234352,4.145002365,2.545742512,-0.45714128,-0.883281231,3.929356575,4.100241661,3.879519939,1.73252368,-3.31397891,0.538214445,-2.542233229,3.303258657,3.739497662,4.839823723,3.143788815,2.678543329,2.933411121,-0.104749188,0.086137265,2.01557827,2.053019762,4.446106911,-2.075700045,8.029414177,-3.578349829,-1.774502277,3.488428831,7.474040508,8.348690987,6.587780952,2.859658718,8.474005699,5.420903206,1.110258579,-1.213969946,4.834076881,6.011505127,7.153234482,5.882203579,-2.241844177,2.703505993,-2.678842068,6.283559322,7.128464222,8.22500515,6.121050835,7.235122681,5.288488388,0.904339135,-0.488650084,2.490047216,2.558071375,5.450226784,-2.811692476,11.22632504,-3.143790007,-2.58544755,5.087244987,9.711857796,12.05907059,8.895301819,3.554900646,13.06371975,7.67819643,2.402026892,0.143813238,4.406246185,8.816660881,10.43842983,7.359450817,-3.305947781,3.009936333,-1.937626362,7.679748058,10.03866959,11.53260708,9.319036484,9.834718704,6.185237408,-0.116736434,1.615751863,1.862218022,5.200304508,6.512704372
6,17,ADVANCED,40,-9.204099655,0.275669277,-12.44452572,-5.927005291,0.098177046,1.861249447,-2.412178516,-0.295958638,0.278247565,-0.520522416,-0.36620602,-3.021544933,-3.673443079,3.073552132,-1.810589314,-2.509081841,2.310601711,-10.0547533,-2.547753334,-5.725074768,1.602018476,-2.318719625,1.63568902,-2.202920914,2.226411104,0.814555943,-0.349443138,-2.561911106,1.535061359,-2.176706553,2.077308416,-0.883769989,-2.298504353,-3.213744879,-2.233986139,1.91294086,-1.783043385,-1.970247984,-3.806549549,2.246862173,-2.021784544,0.132478416,1.534523487,1.935320973,1.741560698,-0.413334429,-4.434358597,2.172827244,-2.725006819,-0.239564151,2.179115057,-1.762682199,-2.093179941,-1.34495604,-4.783348083,-0.276222557,-0.711550772,1.010879874,1.082736373,1.721541524,-0.118705951,0.321994334,-2.179288864,0.966041088,-4.049246311,-5.254448891,4.934846878,-0.650734663,4.102775574,1.30798912,2.535838366,2.489234686,3.668816805,3.664673567,3.015419006,0.708858788,4.591285229,1.897386432,2.790955067,-5.096652031,-1.3535676,1.964807987,-1.529705167,2.993438005,1.117969632,0.547599673,1.141720057,-1.011878729,-2.507710218,3.510309935,0.034915097,4.345805645,0.752622724
7,13,ADVANCED,46,1.488481879,2.018856287,-0.592726171,2.061835527,2.104306698,1.940588236,1.788872838,0.849871099,2.545518637,2.422049284,2.300413847,1.286263943,3.350344181,0.869153142,1.944243431,0.730206728,2.40408349,1.223456025,1.995495439,2.031930923,1.987725139,2.394124985,1.598922133,0.74364984,3.108920097,2.258709431,2.171668053,3.276772499,0.546870589,2.973321915,0.465354979,1.505044341,1.750717282,-1.490164042,1.756670117,1.496604323,2.7633214,0.797001541,-0.236512348,2.860200882,1.396472931,1.399297357,0.741523921,-0.06155302,2.021402597,0.307499498,-1.067983866,2.080526352,1.00635457,1.939424872,-0.586450994,2.92351675,1.151842594,2.05436039,-0.805448472,3.143639803,2.541711092,2.044651985,0.408613384,2.160182238,1.016545653,1.085997462,2.149406672,4.0008955,-0.087654486,2.202925205,3.239505053,3.747993708,2.712772608,3.140328169,2.825110197,4.273058414,3.0855093,3.259121656,1.845474958,2.857919693,1.477133155,2.393754959,3.184586525,2.929723024,2.371939182,0.228927284,3.501554251,2.70554471,4.015027523,2.635317087,2.970667362,2.543542147,2.134298801,1.534489632,2.492488861,1.466046333,2.707822084
8,11,ADVANCED,42,0.559253156,2.597653866,0.275343806,0.134203449,3.446402073,4.075227737,2.899880886,0.983086884,2.399889469,2.238688469,3.619822979,2.562570333,2.652960062,3.583623409,1.571912289,1.242250919,3.437273741,0.110329777,3.451310158,1.450091243,4.088126659,2.985134125,3.745330095,0.408545285,2.997444868,3.837545872,1.329746366,2.43379283,2.79229784,1.938040137,2.466956615,1.593384862,9.108178139,1.317409873,1.170216084,5.636561394,7.772726536,6.806711674,4.147840977,5.785375118,8.731969833,6.728595257,3.774593592,1.671812296,2.848537207,3.399762154,4.392490387,9.525220871,1.518937826,4.954541683,1.054751754,7.419218063,6.679428577,7.678001881,3.694995165,9.751357079,5.451855659,1.2215904,1.964264631,1.702787757,2.82855916,3.42034483,0.737867117,5.707652569,0.944635689,0.212781176,1.937833667,4.32578516,4.918952465,2.936515093,2.857009172,5.737132072,3.571805716,0.532291234,1.225895166,1.141274214,2.968258858,3.426038265,3.850936174,-0.009152465,-0.687421381,1.234272718,3.363955975,4.273097038,5.006516457,2.976031542,4.773792267,1.787624598,0.338613182,1.311123133,0.513770282,2.053500175,1.783889055
9,22,ADVANCED,50,-12.45558357,3.046337843,-13.74424648,-10.17683506,-0.219569415,3.024128199,4.559664726,4.097780704,-1.581079364,4.651708126,2.903971434,-2.287963867,-0.656135559,3.280285358,4.093374252,3.75162816,1.372504234,-15.6137495,-4.753837585,-3.044382334,1.01186955,4.103941917,4.08775425,3.298832893,2.581472397,-1.544359565,-4.377257824,1.722005725,-1.213546276,2.526863337,3.693184614,-14.80529022,7.756120682,-16.6074791,-10.89338017,1.220777631,7.362384796,11.80328369,8.353301048,-3.366957664,11.46590519,5.559047222,-3.287286758,2.050976753,5.360927582,8.783744812,9.855093002,1.700278521,-17.57142448,-4.901633739,-0.831726909,3.565331459,9.094293594,9.670974731,8.541186333,4.546070099,-0.21139586,-2.523622036,3.700311661,1.117562532,6.118256569,6.526726246,-13.63294983,9.333865166,-15.86924744,-9.467638016,2.132405043,8.997415543,10.75795269,8.896156311,-1.220320582,12.22310066,6.553788185,-1.762385726,-0.864106059,4.458170414,5.334897518,9.033967018,2.785041571,-15.71944904,-3.514567614,-2.142762661,6.008776665,9.478625298,10.31231022,8.466074944,7.055766582,1.098016977,-3.419709682,2.64928484,-1.899106741,4.853975296,5.56937933
