PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,condition,mean
1,15,ADVANCED,45,gender,4.910746627
1,15,ADVANCED,45,grammatical,3.65701682
1,15,ADVANCED,45,number,7.963865598
2,21,ADVANCED,45,gender,3.225875219
2,21,ADVANCED,45,grammatical,1.699066202
2,21,ADVANCED,45,number,5.86192343
3,15,ADVANCED,45,gender,3.18984931
3,15,ADVANCED,45,grammatical,3.895799167
3,15,ADVANCED,45,number,5.370814059
4,12,ADVANCED,48,gender,4.590211233
4,12,ADVANCED,48,grammatical,4.261924307
4,12,ADVANCED,48,number,7.016684532
5,13,ADVANCED,46,gender,10.69833533
5,13,ADVANCED,46,grammatical,3.967261712
5,13,ADVANCED,46,number,7.50463189
6,17,ADVANCED,40,gender,1.64129995
6,17,ADVANCED,40,grammatical,-0.72075269
6,17,ADVANCED,40,number,-2.726219164
7,13,ADVANCED,46,gender,3.29163252
7,13,ADVANCED,46,grammatical,1.609682381
7,13,ADVANCED,46,number,0.867085717
8,11,ADVANCED,42,gender,4.367524518
8,11,ADVANCED,42,grammatical,2.352866474
8,11,ADVANCED,42,number,6.556927019
9,22,ADVANCED,50,gender,9.722163094
9,22,ADVANCED,50,grammatical,3.846864091
9,22,ADVANCED,50,number,9.322504785
10,18,ADVANCED,40,gender,4.516144911
10,18,ADVANCED,40,grammatical,3.753160106
10,18,ADVANCED,40,number,7.195358806
11,11,ADVANCED,49,gender,5.838264995
11,11,ADVANCED,49,grammatical,2.373346991
11,11,ADVANCED,49,number,6.015984641
12,13.5,ADVANCED,42,gender,10.08036412
12,13.5,ADVANCED,42,grammatical,5.295097483
12,13.5,ADVANCED,42,number,12.75909122
13,10,ADVANCED,43,gender,3.521922376
13,10,ADVANCED,43,grammatical,1.101473241
13,10,ADVANCED,43,number,4.147672706
14,19,ADVANCED,46,gender,3.833064079
14,19,ADVANCED,46,grammatical,2.101533532
14,19,ADVANCED,46,number,4.892379973
15,14,ADVANCED,45,gender,2.235544903
15,14,ADVANCED,45,grammatical,3.562830435
15,14,ADVANCED,45,number,2.848734485
16,11.5,ADVANCED,43,gender,2.759468436
16,11.5,ADVANCED,43,grammatical,0.470475091
16,11.5,ADVANCED,43,number,2.515691757
17,13,ADVANCED,46,gender,8.165081819
17,13,ADVANCED,46,grammatical,6.668334802
17,13,ADVANCED,46,number,10.09086831
18,14,ADVANCED,46,gender,2.221744862
18,14,ADVANCED,46,grammatical,0.779497507
18,14,ADVANCED,46,number,4.311774863
19,13,ADVANCED,41,gender,7.307211664
19,13,ADVANCED,41,grammatical,6.906691922
19,13,ADVANCED,41,number,8.978270637
20,17,ADVANCED,42,gender,3.109603352
20,17,ADVANCED,42,grammatical,2.230591366
20,17,ADVANCED,42,number,6.363451958
21,13,ADVANCED,42,gender,7.896834532
21,13,ADVANCED,42,grammatical,4.638478226
21,13,ADVANCED,42,number,8.268210093
22,16,ADVANCED,41,gender,3.826224168
22,16,ADVANCED,41,grammatical,2.337530023
22,16,ADVANCED,41,number,5.275964498
23,12,ADVANCED,40,gender,10.10787815
23,12,ADVANCED,40,grammatical,3.838687764
23,12,ADVANCED,40,number,8.89647807
24,20,ADVANCED,45,gender,11.15295845
24,20,ADVANCED,45,grammatical,6.777024878
24,20,ADVANCED,45,number,12.20634757
25,14,ADVANCED,40,gender,3.443021536
25,14,ADVANCED,40,grammatical,-0.289787937
25,14,ADVANCED,40,number,4.177852763
26,15,ADVANCED,42,gender,3.844566001
26,15,ADVANCED,42,grammatical,0.691257149
26,15,ADVANCED,42,number,9.332950698
27,14,ADVANCED,42,gender,0.889700031
27,14,ADVANCED,42,grammatical,3.567749129
27,14,ADVANCED,42,number,0.967952895
28,15,ADVANCED,44,gender,2.958949169
28,15,ADVANCED,44,grammatical,2.03560347
28,15,ADVANCED,44,number,5.272500886
29,14,ADVANCED,43,gender,6.076781485
29,14,ADVANCED,43,grammatical,2.42282428
29,14,ADVANCED,43,number,3.402506749
30,17,ADVANCED,44,gender,5.918243567
30,17,ADVANCED,44,grammatical,2.706285808
30,17,ADVANCED,44,number,6.180113581
31,12,INTERMEDIATE,38,gender,1.591067007
31,12,INTERMEDIATE,38,grammatical,1.973529359
31,12,INTERMEDIATE,38,number,7.112266911
32,13,INTERMEDIATE,32,gender,7.756011592
32,13,INTERMEDIATE,32,grammatical,4.007780949
32,13,INTERMEDIATE,32,number,8.907672723
33,11,INTERMEDIATE,35,gender,-1.346558824
33,11,INTERMEDIATE,35,grammatical,0.412851394
33,11,INTERMEDIATE,35,number,1.466338666
34,16,INTERMEDIATE,37,gender,-0.804726097
34,16,INTERMEDIATE,37,grammatical,0.316740942
34,16,INTERMEDIATE,37,number,1.273252383
35,15,INTERMEDIATE,34,gender,7.108442783
35,15,INTERMEDIATE,34,grammatical,3.750916614
35,15,INTERMEDIATE,34,number,8.935239209
36,14,INTERMEDIATE,31,gender,0.920591656
36,14,INTERMEDIATE,31,grammatical,1.180716265
36,14,INTERMEDIATE,31,number,7.84776428
37,15,INTERMEDIATE,32,gender,5.067803727
37,15,INTERMEDIATE,32,grammatical,2.715721687
37,15,INTERMEDIATE,32,number,4.389242994
38,15,INTERMEDIATE,38,gender,4.816289902
38,15,INTERMEDIATE,38,grammatical,2.472856121
38,15,INTERMEDIATE,38,number,5.065369155
39,21,INTERMEDIATE,35,gender,8.572684606
39,21,INTERMEDIATE,35,grammatical,7.333015601
39,21,INTERMEDIATE,35,number,11.13294262
40,14,INTERMEDIATE,36,gender,5.916018963
