PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,gen_mean,gram_mean,num_mean
1,15,ADVANCED,45,4.910746627,3.65701682,7.963865598
2,21,ADVANCED,45,3.225875219,1.699066202,5.86192343
3,15,ADVANCED,45,3.18984931,3.895799167,5.370814059
4,12,ADVANCED,48,4.590211233,4.261924307,7.016684532
5,13,ADVANCED,46,10.69833533,3.967261712,7.50463189
6,17,ADVANCED,40,1.64129995,-0.72075269,-2.726219164
7,13,ADVANCED,46,3.29163252,1.609682381,0.867085717
8,11,ADVANCED,42,4.367524518,2.352866474,6.556927019
9,22,ADVANCED,50,9.722163094,3.846864091,9.322504785
10,18,ADVANCED,40,4.516144911,3.753160106,7.195358806
11,11,ADVANCED,49,5.838264995,2.373346991,6.015984641
12,13.5,ADVANCED,42,10.08036412,5.295097483,12.75909122
13,10,ADVANCED,43,3.521922376,1.101473241,4.147672706
14,19,ADVANCED,46,3.833064079,2.101533532,4.892379973
15,14,ADVANCED,45,2.235544903,3.562830435,2.848734485
16,11.5,ADVANCED,43,2.759468436,0.470475091,2.515691757
17,13,ADVANCED,46,8.165081819,6.668334802,10.09086831
18,14,ADVANCED,46,2.221744862,0.779497507,4.311774863
19,13,ADVANCED,41,7.307211664,6.906691922,8.978270637
20,17,ADVANCED,42,3.109603352,2.230591366,6.363451958
21,13,ADVANCED,42,7.896834532,4.638478226,8.268210093
22,16,ADVANCED,41,3.826224168,2.337530023,5.275964498
23,12,ADVANCED,40,10.10787815,3.838687764,8.89647807
24,20,ADVANCED,45,11.15295845,6.777024878,12.20634757
25,14,ADVANCED,40,3.443021536,-0.289787937,4.177852763
26,15,ADVANCED,42,3.844566001,0.691257149,9.332950698
27,14,ADVANCED,42,0.889700031,3.567749129,0.967952895
28,15,ADVANCED,44,2.958949169,2.03560347,5.272500886
29,14,ADVANCED,43,6.076781485,2.42282428,3.402506749
30,17,ADVANCED,44,5.918243567,2.706285808,6.180113581
31,12,INTERMEDIATE,38,1.591067007,1.973529359,7.112266911
32,13,INTERMEDIATE,32,7.756011592,4.007780949,8.907672723
33,11,INTERMEDIATE,35,-1.346558824,0.412851394,1.466338666
34,16,INTERMEDIATE,37,-0.804726097,0.316740942,1.273252383
35,15,INTERMEDIATE,34,7.108442783,3.750916614,8.935239209
36,14,INTERMEDIATE,31,0.920591656,1.180716265,7.84776428
37,15,INTERMEDIATE,32,5.067803727,2.715721687,4.389242994
38,15,INTERMEDIATE,38,4.816289902,2.472856121,5.065369155
39,21,INTERMEDIATE,35,8.572684606,7.333015601,11.13294262
40,14,INTERMEDIATE,36,5.916018963,4.045119789,5.64239041
41,13,INTERMEDIATE,37,4.30764948,1.52371499,4.879243374
42,12,INTERMEDIATE,31,4.093514323,3.191334413,7.982389874
43,12,INTERMEDIATE,35,5.618262026,5.405036608,5.194761912
44,17,INTERMEDIATE,35,6.286691666,0.521654884,6.346594334
45,12,INTERMEDIATE,39,3.431555933,3.901662509,5.620303922
46,15,INTERMEDIATE,38,0.471295493,-1.492967517,3.737014324
47,15,INTERMEDIATE,34,0.789597172,0.216336077,3.699183437
48,13,INTERMEDIATE,35,9.601450073,0.307858618,10.67877727
49,14,INTERMEDIATE,31,5.946530422,4.932898362,6.315837807
50,10,INTERMEDIATE,35,0.899232829,-0.482450936,2.560010688
51,13,LOW,24,4.622312334,0.886291572,-0.33015742
52,13,LOW,27,14.96736961,7.227001905,8.581184864
53,15,LOW,25,0.178665192,-0.269243916,2.876798812
54,20,LOW,19,3.600413687,-2.255626838,0.021115642
55,8,LOW,15,-0.077812137,-1.591699375,-0.528738839
56,16,LOW,12,-3.187156439,-0.787715583,0.383831595
57,13,LOW,24,0.438119981,0.718208674,3.000565476
58,16,LOW,17,5.789592637,4.935644017,4.890624285
59,14,LOW,23,5.390729533,2.769328263,10.1342801
60,15,LOW,24,7.172998852,5.057345602,6.225343598
61,18,LOW,22,4.252074798,3.385445118,8.909542878
62,11,LOW,24,-2.623879453,-0.266118424,4.172618071
63,14,LOW,24,2.383148445,3.205894285,4.487196816
64,15,LOW,21,-0.720930719,1.08347542,2.205396169
65,13.5,LOW,24,5.927857982,4.784341839,7.691807959
66,14,LOW,28,7.70238177,6.960476028,10.13546509
67,15,LOW,26,2.844426844,2.587224669,4.6534991
68,14,LOW,26,4.047608005,3.130545749,2.23564016
69,11,LOW,21,5.808936437,2.29887671,4.247197946
70,14,LOW,17,0.702231334,-0.50706291,0.150475671
71,20,LOW,18,6.064893564,3.392733907,9.196791437
72,13,LOW,13,5.820259068,3.854917738,7.342944198
73,15,LOW,12,0.992571622,-2.719329966,2.159123109
74,16,LOW,15,6.722602632,0.852577226,6.757108794
75,12,LOW,21,2.72009831,2.342796458,4.300363329
76,14,LOW,28,5.371025085,1.200721647,4.658137295
77,13,LOW,25,0.537367986,1.961760018,1.320412752
78,14,LOW,28,5.82532586,4.539675103,5.745620145
