PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
1,15,ADVANCED,45,5.223221302,5.818239212,5.035464287,5.704041004,5.647386551,5.090488434,3.457612514,3.866343498,4.353922844,4.910746627333333
2,21,ADVANCED,45,3.511447191,3.544358492,3.378968477,3.841092825,3.425101995,3.35876441,2.747953176,2.605760813,2.619429588,3.2258752185555553
3,15,ADVANCED,45,3.763223886,4.590360165,3.64346242,3.268470764,4.545386791,3.561005354,1.037760019,1.727303624,2.571670771,3.189849310444445
4,12,ADVANCED,48,5.151945114,4.52430439,5.513876438,5.327831268,6.303815365,5.842029095,2.070374966,2.782075167,3.79564929,4.590211232555557
5,13,ADVANCED,46,9.711857796,11.22632504,10.03866959,11.53260708,13.06371975,12.05907059,8.895301819,9.319036484,10.43842983,10.698335331000001
6,17,ADVANCED,40,-0.650734663,0.966041088,2.993438005,1.117969632,2.489234686,4.102775574,1.30798912,0.547599673,1.897386432,1.6412999496666667
7,13,ADVANCED,46,3.747993708,4.0008955,2.70554471,4.015027523,4.273058414,2.712772608,3.140328169,2.635317087,2.393754959,3.2916325197777776
8,11,ADVANCED,42,4.32578516,5.707652569,4.273097038,5.006516457,5.737132072,4.918952465,2.936515093,2.976031542,3.426038265,4.3675245178888895
9,22,ADVANCED,50,8.997415543,9.333865166,9.478625298,10.31231022,12.22310066,10.75795269,8.896156311,8.466074944,9.033967018,9.722163094444445
10,18,ADVANCED,40,5.000438213,5.054850578,4.636520386,6.124117374,5.378545761,4.837010384,3.75449276,2.741286755,3.118041992,4.516144911444445
11,11,ADVANCED,49,6.612763882,5.412996292,4.729999542,7.668020248,6.916235924,5.82679987,5.331232071,4.921218395,5.125118732,5.838264995111112
12,13.5,ADVANCED,42,11.12613392,12.80717182,8.894571304,13.05125523,13.32862759,10.09979153,8.788163185,7.001984596,5.625577927,10.080364122444445
13,10,ADVANCED,43,4.201439381,5.084209919,3.358340263,4.116146088,5.105125904,3.061745167,2.692564726,2.303595781,1.774134159,3.5219223764444445
14,19,ADVANCED,46,4.797776222,4.970520496,4.181216717,4.584213734,4.676693439,4.336092949,2.258946657,2.340856791,2.351259708,3.8330640792222224
15,14,ADVANCED,45,3.839023829,2.898808479,2.226713657,3.842858076,3.001173496,2.125936985,1.399904013,0.513307869,0.272177726,2.235544903333333
16,11.5,ADVANCED,43,2.691926718,3.69317317,2.889104605,3.025513887,3.401682615,3.373507977,1.902955055,1.720829368,2.136522532,2.7594684363333335
17,13,ADVANCED,46,8.342607498,8.458641052,8.239273071,9.786988258,10.04975605,9.350384712,6.077495575,6.241079807,6.939510345,8.165081818666668
18,14,ADVANCED,46,2.421041965,3.291213036,2.743674755,3.092442036,3.097351313,2.924669027,1.100750685,0.324112236,1.000448704,2.221744861888889
19,13,ADVANCED,41,8.035421371,7.226163387,6.878361225,8.308978081,7.70479393,7.695886135,7.126923561,6.191976547,6.596400738,7.307211663888889
20,17,ADVANCED,42,4.008804321,4.037330151,3.505265236,3.954620123,3.972337008,3.268506289,1.746298432,1.871793866,1.621474743,3.1096033521111113
21,13,ADVANCED,42,8.743421555,8.243062973,7.360355854,9.548443794,9.683850288,7.672420979,7.452661514,6.464074612,5.903219223,7.896834532444444
22,16,ADVANCED,41,3.763251781,4.320471764,4.460821152,3.957043648,4.523970604,4.473422527,2.313534975,3.036707878,3.586793184,3.8262241681111107
23,12,ADVANCED,40,11.06624031,13.03738022,11.40771198,11.43136215,12.79337215,11.05000305,7.28243494,6.776185036,6.126213551,10.107878154111113
24,20,ADVANCED,45,10.60828018,12.49761677,11.85855484,11.67418671,13.66724205,12.62594128,9.565694809,8.940526962,8.93858242,11.15295844677778
25,14,ADVANCED,40,2.576289654,2.571557999,3.164333344,4.670608997,3.554298878,4.567820549,2.863219261,2.997361422,4.02170372,3.4430215360000003
26,15,ADVANCED,42,4.761280537,5.989041328,3.674275637,4.865550041,5.728028297,4.02130127,2.044980764,1.73513937,1.781496763,3.8445660007777778
