PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
1,15,ADVANCED,45,5.547548294,5.468326569,3.698762178,5.130047798,4.206544399,3.209459782,2.020205498,1.858333111,1.773923755,3.657016820444444
2,21,ADVANCED,45,0.833041906,1.430795789,1.366363406,1.574712157,2.358018875,1.981704593,2.074254513,1.884963751,1.787740827,1.699066201888889
3,15,ADVANCED,45,4.933756828,5.968940258,5.861598492,4.260124683,4.860754013,5.158470631,0.63119024,1.320368886,2.066988468,3.8957991665555554
4,12,ADVANCED,48,6.671257019,5.775220871,5.56099081,5.337206841,5.336941719,4.869808674,1.136402011,1.767595053,1.901895761,4.261924306555556
5,13,ADVANCED,46,4.418050766,3.372888565,3.7394976619999998,4.839823723,4.145002365,4.533908367,3.632875204,3.143788815,3.879519939,3.967261711777778
6,17,ADVANCED,40,1.861249447,0.275669277,-2.318719625,1.63568902,-0.520522416,-2.412178516,-0.295958638,-2.202920914,-2.509081841,-0.7207526895555555
7,13,ADVANCED,46,1.940588236,2.018856287,2.394124985,1.598922133,2.422049284,1.788872838,0.849871099,0.74364984,0.730206728,1.609682381111111
8,11,ADVANCED,42,4.075227737,2.597653866,2.985134125,3.745330095,2.238688469,2.899880886,0.983086884,0.408545285,1.242250919,2.3528664739999994
9,22,ADVANCED,50,3.024128199,3.046337843,4.103941917,4.08775425,4.651708126,4.559664726,4.097780704,3.298832893,3.75162816,3.846864090888889
10,18,ADVANCED,40,4.753248215,4.321204185,3.047903061,4.953875065,4.124996185,3.420636892,3.524369478,2.842978954,2.789228916,3.753160105666667
11,11,ADVANCED,49,3.533406734,2.320125341,1.942903042,4.333052635,2.96405077,2.755126238,1.833993435,0.961128175,0.716336548,2.373346990888889
12,13.5,ADVANCED,42,7.52785635,6.24623394,4.887660503,7.681798935,6.750451565,4.800239563,4.037723541,3.284096241,2.439816713,5.295097483444444
13,10,ADVANCED,43,2.269165754,1.943026066,1.9205524920000001,1.305123448,1.597579479,1.504306197,-0.45021531,-0.128344029,-0.047934931,1.1014732406666665
14,19,ADVANCED,46,2.389154434,3.111386061,1.97265625,2.672883749,2.794472694,2.147527456,1.253682017,1.369470239,1.202568889,2.1015335321111106
15,14,ADVANCED,45,5.810972691,5.0772295,3.779703617,5.060901642,4.348957062,3.378106594,1.903610587,1.509444118,1.196548104,3.5628304350000004
16,11.5,ADVANCED,43,0.662547946,1.148002386,1.442291021,0.405240476,0.601519108,1.036973596,-0.505068541,-0.4377729,-0.119457275,0.4704750907777778
17,13,ADVANCED,46,8.610965729,8.460131645,8.089313507,7.467795372,8.353443146,7.638284206,3.314826012,3.626121521,4.45413208,6.668334802
18,14,ADVANCED,46,2.869192839,1.429184794,0.24729307,2.327560425,1.417753458,0.086309947,0.177885681,-0.616104305,-0.923598349,0.7794975066666666
19,13,ADVANCED,41,6.085536957,5.486902237,6.973414421,7.065476418,6.461607933,7.488996983,7.817394733,7.18228817,7.598609447,6.906691922111111
20,17,ADVANCED,42,3.505028725,3.281099796,2.951027632,2.958189487,3.023160934,2.607352972,1.23089838,0.511977732,0.00658664,2.230591366444444
21,13,ADVANCED,42,5.820281029,4.536013603,4.415708542,5.544197559,5.28911972,4.616730213,4.522747517,3.568143606,3.433362246,4.638478226111112
22,16,ADVANCED,41,3.903664827,3.352849483,2.949272871,3.342852354,2.870009661,2.744458914,0.454967558,0.521652997,0.898041546,2.3375300234444447
23,12,ADVANCED,40,4.771525383,5.269650459,5.683185101,3.9054017069999998,5.307211399,4.456332684,2.218695879,1.459276199,1.476911068,3.8386877643333333
24,20,ADVANCED,45,8.750653267,9.116360664,9.599604607,7.966292381,8.808278084,8.010654449,3.198354244,2.737307549,2.80571866,6.777024878333334
25,14,ADVANCED,40,0.872935593,-0.960984886,-0.066949271,0.873751879,-0.427857071,-0.336735696,-0.967697203,-0.920567572,-0.67398721,-0.2897879374444444
26,15,ADVANCED,42,1.40451169,0.119534627,-0.291897714,1.602416754,-0.100646138,0.153933182,1.454443455,1.07855618,0.800462306,0.691257149111111
27,14,ADVANCED,42,5.019594669,4.539863586,4.160815239,4.581039429,4.177130699,3.837992668,2.149334908,2.023044109,1.620926857,3.567749129333333
28,15,ADVANCED,44,2.685807943,2.308118343,1.711175203,2.841977119,2.460540056,2.019983053,1.765590191,1.387907028,1.139332294,2.03560347
