PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
1,15,ADVANCED,45,8.262260437,9.523091316,7.560611725,8.8612957,9.363103867,7.780792713,6.766778469,6.705820084,6.851036072,7.963865598111111
2,21,ADVANCED,45,4.498276711,6.59305048,6.400119305,5.527582169,7.28057003,6.912849903,4.928199291,5.287379742,5.329283237,5.861923429777778
3,15,ADVANCED,45,4.334768295,7.150278091,6.574368,5.198083878,7.33582449,7.006191254,2.604288816,3.467621565,4.665902138,5.370814058555556
4,12,ADVANCED,48,8.130643845,6.671444893,6.941467285,8.627711296,8.906633377,7.779336452,5.295400143,5.182867527,5.614655972,7.016684532222222
5,13,ADVANCED,46,7.474040508,8.029414177,7.128464222,8.22500515,8.474005699,8.348690987,6.587780952,6.121050835,7.153234482,7.504631890222222
6,17,ADVANCED,40,-1.783043385,-2.2985043529999998,-2.093179941,-1.34495604,-2.021784544,-1.970247984,-3.806549549,-4.783348083,-4.434358597,-2.7262191639999998
7,13,ADVANCED,46,2.7633214,1.750717282,1.151842594,2.05436039,1.396472931,0.797001541,-0.236512348,-0.805448472,-1.067983866,0.8670857168888888
8,11,ADVANCED,42,7.772726536,9.108178139,6.679428577,7.678001881,8.731969833,6.806711674,4.147840977,3.694995165,4.392490387,6.556927018777778
9,22,ADVANCED,50,7.362384796,7.756120682,9.094293594,9.670974731,11.46590519,11.80328369,8.353301048,8.541186333,9.855093002,9.322504785111112
10,18,ADVANCED,40,7.070649624,7.929459095,6.378156662,8.674986839,9.027905464,7.283385754,6.309269905,6.020227909,6.064188004,7.195358806222221
11,11,ADVANCED,49,6.976580143,5.949074745,5.62240839,7.888719082,7.036088943,6.488481998,5.515928745,4.413451672,4.253128052,6.015984641111111
12,13.5,ADVANCED,42,13.97878265,17.32518387,12.22498226,15.11636543,17.15151024,12.83860207,9.97802639,8.685498238,7.532869816,12.759091218222222
13,10,ADVANCED,43,5.411907196,5.934725285,4.780919075,4.721751213,5.894618034,4.73039341,1.593759656,1.96579659,2.295183897,4.147672706222222
14,19,ADVANCED,46,5.675177574,6.128061295,4.986760616,5.959499836,5.954766273,5.274771214,3.275342703,3.162143946,3.614896297,4.892379972666667
15,14,ADVANCED,45,4.088378906,3.92222023,3.385588169,3.849731922,3.743928194,2.882637024,1.763207674,1.188869596,0.814048648,2.848734484777778
16,11.5,ADVANCED,43,1.661715388,3.368032694,3.857630253,2.09339118,3.24924469,3.718103886,1.168127775,1.266351342,2.258628607,2.515691757222222
17,13,ADVANCED,46,11.14355659,11.36950779,10.56475163,11.41309834,12.438505170000001,11.95538616,6.453861713,7.105679989,8.373467445,10.09086831411111
18,14,ADVANCED,46,5.05134058,6.425945759,4.908335686,5.132719517,6.147954464,5.288831711,1.880156279,1.822630405,2.148059368,4.311774863222222
19,13,ADVANCED,41,8.55559063,8.366502762,8.58601284,9.88186264,9.268529892,9.458638191,9.555803299,8.523596764,8.607898712,8.978270636666666
20,17,ADVANCED,42,6.343900681,6.841201782,6.584749222,7.166180611,7.193742752,6.77455616,5.598304749,5.43676424,5.331667423,6.363451957777778
21,13,ADVANCED,42,9.363693237,8.629751205,7.43287468,9.817297935,9.775214195,8.29833889,7.818209648,6.874236107,6.40427494,8.268210092999999
22,16,ADVANCED,41,5.282230854,6.233361244,5.339010715,6.170781612,6.51583147,5.831428528,3.614346266,4.068295002,4.428394794,5.275964498333333
23,12,ADVANCED,40,9.204731941,10.38335514,8.532197952,10.17818546,10.96573925,8.501690865,8.078569412,7.673903465,6.549929142,8.896478069666665
24,20,ADVANCED,45,12.88220501,13.24111462,14.07823181,13.70852757,14.98211956,14.12242222,8.885123253,8.912339211,9.045044899,12.206347572555556
25,14,ADVANCED,40,2.467059374,2.609985828,3.125961304,5.352832794,4.512178421,4.867022514,4.412396908,4.614992142,5.638245583,4.177852763111111
26,15,ADVANCED,42,10.62925529,12.37756443,8.991471291,10.76299763,13.05851841,9.934938431,6.072546005,5.962107182,6.207157612,9.33295069788889
27,14,ADVANCED,42,1.921725869,1.885246754,1.778216958,1.536932111,1.478095531,0.755671024,0.044590782,-0.139392018,-0.549510956,0.9679528949999998
28,15,ADVANCED,44,5.815630913,5.786284924,4.934804916,6.173826218,6.117036343,5.027454376,4.822181225,4.427290916,4.347998142,5.272500885888888
29,14,ADVANCED,43,2.907992363,2.716392279,3.417310476,3.777784824,3.742180109,3.290845633,3.783333302,3.620217562,3.366504192,3.402506748888889
30,17,ADVANCED,44,5.760176659,7.567777157,6.354766846,6.183393002,8.25052166,7.472553253,4.327698231,4.768113613,4.936021805,6.180113580666667
31,12,INTERMEDIATE,38,6.302141666,6.55821991,5.981618404,7.744987011,8.196667671,6.952401638,8.012645721,7.541431427,6.720288754,7.112266911333332
32,13,INTERMEDIATE,32,9.111966133,11.19901657,10.05316162,9.344272614,11.21790695,10.22443867,6.04434967,6.230566502,6.743375778,8.907672723
33,11,INTERMEDIATE,35,-0.426209599,0.09082903,1.046049953,0.825726926,1.688635588,2.172780275,2.328978062,2.334807396,3.135450363,1.466338666
34,16,INTERMEDIATE,37,1.434811473,1.467356682,-0.049552605,2.657706022,2.274505138,0.712371945,1.368496895,0.838673294,0.754902601,1.2732523827777777
35,15,INTERMEDIATE,34,8.422420502,10.56466389,8.989933014,9.758804321,11.9009428,9.722125053,7.245383263,6.845557213,6.967322826,8.93523920911111
36,14,INTERMEDIATE,31,8.041202545,6.88440752,7.616589546,9.301253319,8.739876747,8.787079811,7.705778599,6.821250916,6.732439518,7.847764280111111
37,15,INTERMEDIATE,32,4.471483231,4.758127213,4.654080868,5.372954369,5.19050312,5.096108913,3.897476912,3.000017881,3.062434435,4.3892429935555555
38,15,INTERMEDIATE,38,4.953042507,6.104847908,6.245106697,5.223969936,6.891145706,6.787564754,2.187788725,3.414204597,3.780651569,5.065369155444444
39,21,INTERMEDIATE,35,11.76385212,12.90933037,11.87697697,11.98273468,13.82940865,13.63127613,8.017448425,7.543845177,8.641611099,11.132942624555554
40,14,INTERMEDIATE,36,4.852219582,5.36384201,5.654398441,6.169331551,6.296208858,6.590263844,5.23283577,4.933852196,5.68856144,5.642390410222223
41,13,INTERMEDIATE,37,4.726590633,4.064660549,4.306798458,6.037735939,6.191987514,6.051953316,3.81106329,4.078231812,4.644168854,4.8792433738888885
42,12,INTERMEDIATE,31,8.726882935,10.30422211,7.507378101,9.321249008,10.68647766,6.243817806,7.918291569,6.168533325,4.964656353,7.982389874111111
43,12,INTERMEDIATE,35,7.432986736,5.955217838,5.514636517,8.322505951,5.571070194,4.391859055,4.303259373,2.969684601,2.291636944,5.19476191211111
44,17,INTERMEDIATE,35,7.138831615,7.626863956,7.325017929,7.136977196,8.524404526,7.407578945,3.588881969,4.08671999,4.284072876,6.346594333555554
45,12,INTERMEDIATE,39,2.921149492,3.202594757,5.538053513,4.596745014,5.693232059,7.129532337,6.439201355,6.821434498,8.240792274,5.620303922111111
46,15,INTERMEDIATE,38,5.578036785,5.4241628649999996,5.619835854,4.349436283,4.939284325,5.508864403,0.726831913,0.421259314,1.065417171,3.7370143236666657
47,15,INTERMEDIATE,34,3.142309904,4.145105839,3.596026421,3.938793182,5.158979416,4.103347778,3.088094234,3.087449312,3.032544851,3.6991834374444443
48,13,INTERMEDIATE,35,11.26755333,9.744416237,8.217673302,12.64505672,11.35955143,9.417434692,12.4799509,10.82844448,10.14891434,10.678777270111112
49,14,INTERMEDIATE,31,5.025783539,5.435741425,4.757187366,6.781274796,6.970134258,6.077586651,7.919873714,7.096772194,6.778186321,6.315837807111111
50,10,INTERMEDIATE,35,3.438316584,3.656560898,3.976251125,3.31191802,3.398250818,3.96559453,0.137751579,0.044602182,1.110850453,2.560010687666667
51,13,LOW,24,-0.304961383,-2.588016033,-0.710587859,0.019347327,-1.228570461,-0.642728686,1.357570052,0.834245861,0.292284399,-0.3301574203333333
52,13,LOW,27,8.823209763,8.348621368,8.533799171,10.93211937,10.44292831,9.765413284,8.409561157,5.532175064,6.442836285,8.581184863555556
53,15,LOW,25,3.218195677,5.032540321,4.122772694,3.534441948,4.750793457,3.463121414,0.297385842,0.680534124,0.79140383,2.876798811888889
54,20,LOW,19,1.666476846,-0.628742814,1.171761751,1.872039437,-0.235172644,0.580943584,-0.416862994,-1.727645159,-2.092757225,0.02111564244444455
55,8,LOW,15,0.382537216,-1.086452961,-0.530083477,0.101223655,-0.595716119,-0.550656617,-1.065684199,-0.848754704,-0.565062344,-0.528738838888889
56,16,LOW,12,0.35194394,0.570986688,-0.56709528,0.823489308,0.58178407,-0.17843987,0.848489046,0.604973853,0.418352604,0.3838315954444444
57,13,LOW,24,3.595490694,3.382369518,2.958744764,3.733301401,4.378928661,2.821128607,2.368955135,1.960419536,1.805750966,3.000565475777778
58,16,LOW,17,5.219541073,5.643733978,5.14125061,5.269547462,5.954945087,6.01695919,3.09340477,3.288763285,4.387473106,4.890624284555556
59,14,LOW,23,11.35731888,11.26571751,11.24592686,12.2028656,11.7268734,11.83786392,8.026740074,7.292302132,6.252912521,10.134280099666668
60,15,LOW,24,5.950063705,6.491312504,6.286058903,7.420054436,7.079763889,5.776606083,7.133121967,5.414266109,4.476844788,6.225343598222222
61,18,LOW,22,8.831140518,10.934659,8.832701683,9.52628231,10.01243687,9.838040352,6.597902298,7.14712286,8.465600014,8.909542878333333
62,11,LOW,24,4.937102318,2.949708223,3.195735216,5.007944107,3.89310813,4.070316792,5.091361046,3.672860384,4.735426426,4.172618071333334
63,14,LOW,24,6.021731377,5.653344154,4.26035738,5.451956749,5.542861938,3.831941366,3.734121323,2.648688555,3.239768505,4.487196816333333
64,15,LOW,21,2.458136797,2.479356527,2.94557023,2.347636461,2.510712862,3.295102596,1.50208962,0.964547575,1.34541285,2.2053961686666668
65,13.5,LOW,24,8.670358658,10.36217785,8.004517555,8.401499748,9.495829582,7.83194828,5.411627769,5.372965336,5.675346851,7.691807958777777
66,14,LOW,28,10.42146778,9.490127563,9.394800186,11.35676289,10.16809177,9.967090607,10.49417973,9.979714394,9.946950912,10.135465092444445
67,15,LOW,26,5.179524899,5.434811115,4.693462849,5.200922966,5.413232803,4.727993011,4.011804104,3.740846634,3.478893518,4.653499099888888
68,14,LOW,26,1.59947753,2.637271166,3.642081022,2.758270502,3.804603338,4.055393219,0.877220511,0.168736801,0.57770735,2.2356401598888893
69,11,LOW,21,4.843878269,3.397830248,4.57708025,5.023005009,3.492358446,4.90461731,3.932391405,3.669656992,4.383963585,4.247197946
70,14,LOW,17,-0.82389307,-0.978987217,0.602291107,0.339401305,0.839046955,1.233325601,-0.535570204,-0.474810272,1.153476834,0.15047567099999998
